,Fleet\group,"F.striped bass (/year)","F.menhaden (/year)","F.spiny dogfish (/year)","F.bluefish (/year)","F.weakfish (/year)","F.herring (/year)",
1,"striped bass 0",0.0001882295,0,0,0,0,0,
2,"striped bass 2-5",0.02040475,0,0,0,0,0,
3,"striped bass 6+",0.1712137,0,0,0,0,0,
4,"menhaden juv",0,0.01929656,0,0,0,0,
5,"menhaden adult",0,0.1931392,0,0,0,0,
6,"spiny dogfish",0,0,0.01893923,0,0,0,
7,"bluefish juv",0,0,0,0.1732512,0,0,
8,"bluefish adult",0,0,0,0.1476333,0,0,
9,"weakfish juv",0,0,0,0,0.0219798,0,
10,"weakfish adult",0,0,0,0,0.2220977,0,
11,"Atlantic herring 0-1",0,0,0,0,0,0.2481735,
12,"Atlantic herring 2+",0,0,0,0,0,0.3951277,
13,anchovies,0,0,0,0,0,0,
14,benthos,0,0,0,0,0,0,
15,zooplankton,0,0,0,0,0,0,
16,phytoplankton,0,0,0,0,0,0,
