"","V1","V2","V3"
"1",1985,1,1.58600202498602
"2",1985,2,1.58600202498602
"3",1985,3,1.58600202498602
"4",1985,4,1.58600202498602
"5",1985,5,1.58600202498602
"6",1985,6,1.58600202498602
"7",1985,7,1.58600202498602
"8",1985,8,1.58600202498602
"9",1985,9,1.58600202498602
"10",1985,10,1.58600202498602
"11",1985,11,1.58600202498602
"12",1985,12,1.58600202498602
"13",1986,1,0.971075353194471
"14",1986,2,0.971075353194471
"15",1986,3,0.971075353194471
"16",1986,4,0.971075353194471
"17",1986,5,0.971075353194471
"18",1986,6,0.971075353194471
"19",1986,7,0.971075353194471
"20",1986,8,0.971075353194471
"21",1986,9,0.971075353194471
"22",1986,10,0.971075353194471
"23",1986,11,0.971075353194471
"24",1986,12,0.971075353194471
"25",1987,1,0.865533326170261
"26",1987,2,0.865533326170261
"27",1987,3,0.865533326170261
"28",1987,4,0.865533326170261
"29",1987,5,0.865533326170261
"30",1987,6,0.865533326170261
"31",1987,7,0.865533326170261
"32",1987,8,0.865533326170261
"33",1987,9,0.865533326170261
"34",1987,10,0.865533326170261
"35",1987,11,0.865533326170261
"36",1987,12,0.865533326170261
"37",1988,1,1.6249497626313
"38",1988,2,1.6249497626313
"39",1988,3,1.6249497626313
"40",1988,4,1.6249497626313
"41",1988,5,1.6249497626313
"42",1988,6,1.6249497626313
"43",1988,7,1.6249497626313
"44",1988,8,1.6249497626313
"45",1988,9,1.6249497626313
"46",1988,10,1.6249497626313
"47",1988,11,1.6249497626313
"48",1988,12,1.6249497626313
"49",1989,1,0.990202322076
"50",1989,2,0.990202322076
"51",1989,3,0.990202322076
"52",1989,4,0.990202322076
"53",1989,5,0.990202322076
"54",1989,6,0.990202322076
"55",1989,7,0.990202322076
"56",1989,8,0.990202322076
"57",1989,9,0.990202322076
"58",1989,10,0.990202322076
"59",1989,11,0.990202322076
"60",1989,12,0.990202322076
"61",1990,1,1.62811434239442
"62",1990,2,1.62811434239442
"63",1990,3,1.62811434239442
"64",1990,4,1.62811434239442
"65",1990,5,1.62811434239442
"66",1990,6,1.62811434239442
"67",1990,7,1.62811434239442
"68",1990,8,1.62811434239442
"69",1990,9,1.62811434239442
"70",1990,10,1.62811434239442
"71",1990,11,1.62811434239442
"72",1990,12,1.62811434239442
"73",1991,1,1.71643557424294
"74",1991,2,1.71643557424294
"75",1991,3,1.71643557424294
"76",1991,4,1.71643557424294
"77",1991,5,1.71643557424294
"78",1991,6,1.71643557424294
"79",1991,7,1.71643557424294
"80",1991,8,1.71643557424294
"81",1991,9,1.71643557424294
"82",1991,10,1.71643557424294
"83",1991,11,1.71643557424294
"84",1991,12,1.71643557424294
"85",1992,1,1.33345684245104
"86",1992,2,1.33345684245104
"87",1992,3,1.33345684245104
"88",1992,4,1.33345684245104
"89",1992,5,1.33345684245104
"90",1992,6,1.33345684245104
"91",1992,7,1.33345684245104
"92",1992,8,1.33345684245104
"93",1992,9,1.33345684245104
"94",1992,10,1.33345684245104
"95",1992,11,1.33345684245104
"96",1992,12,1.33345684245104
"97",1993,1,1.11972688176227
"98",1993,2,1.11972688176227
"99",1993,3,1.11972688176227
"100",1993,4,1.11972688176227
"101",1993,5,1.11972688176227
"102",1993,6,1.11972688176227
"103",1993,7,1.11972688176227
"104",1993,8,1.11972688176227
"105",1993,9,1.11972688176227
"106",1993,10,1.11972688176227
"107",1993,11,1.11972688176227
"108",1993,12,1.11972688176227
"109",1994,1,1.43656335185537
"110",1994,2,1.43656335185537
"111",1994,3,1.43656335185537
"112",1994,4,1.43656335185537
"113",1994,5,1.43656335185537
"114",1994,6,1.43656335185537
"115",1994,7,1.43656335185537
"116",1994,8,1.43656335185537
"117",1994,9,1.43656335185537
"118",1994,10,1.43656335185537
"119",1994,11,1.43656335185537
"120",1994,12,1.43656335185537
"121",1995,1,0.852455304447065
"122",1995,2,0.852455304447065
"123",1995,3,0.852455304447065
"124",1995,4,0.852455304447065
"125",1995,5,0.852455304447065
"126",1995,6,0.852455304447065
"127",1995,7,0.852455304447065
"128",1995,8,0.852455304447065
"129",1995,9,0.852455304447065
"130",1995,10,0.852455304447065
"131",1995,11,0.852455304447065
"132",1995,12,0.852455304447065
"133",1996,1,0.753584593348069
"134",1996,2,0.753584593348069
"135",1996,3,0.753584593348069
"136",1996,4,0.753584593348069
"137",1996,5,0.753584593348069
"138",1996,6,0.753584593348069
"139",1996,7,0.753584593348069
"140",1996,8,0.753584593348069
"141",1996,9,0.753584593348069
"142",1996,10,0.753584593348069
"143",1996,11,0.753584593348069
"144",1996,12,0.753584593348069
"145",1997,1,0.745466710274795
"146",1997,2,0.745466710274795
"147",1997,3,0.745466710274795
"148",1997,4,0.745466710274795
"149",1997,5,0.745466710274795
"150",1997,6,0.745466710274795
"151",1997,7,0.745466710274795
"152",1997,8,0.745466710274795
"153",1997,9,0.745466710274795
"154",1997,10,0.745466710274795
"155",1997,11,0.745466710274795
"156",1997,12,0.745466710274795
"157",1998,1,1.30169101505941
"158",1998,2,1.30169101505941
"159",1998,3,1.30169101505941
"160",1998,4,1.30169101505941
"161",1998,5,1.30169101505941
"162",1998,6,1.30169101505941
"163",1998,7,1.30169101505941
"164",1998,8,1.30169101505941
"165",1998,9,1.30169101505941
"166",1998,10,1.30169101505941
"167",1998,11,1.30169101505941
"168",1998,12,1.30169101505941
"169",1999,1,0.961271665052639
"170",1999,2,0.961271665052639
"171",1999,3,0.961271665052639
"172",1999,4,0.961271665052639
"173",1999,5,0.961271665052639
"174",1999,6,0.961271665052639
"175",1999,7,0.961271665052639
"176",1999,8,0.961271665052639
"177",1999,9,0.961271665052639
"178",1999,10,0.961271665052639
"179",1999,11,0.961271665052639
"180",1999,12,0.961271665052639
"181",2000,1,0.672832275207703
"182",2000,2,0.672832275207703
"183",2000,3,0.672832275207703
"184",2000,4,0.672832275207703
"185",2000,5,0.672832275207703
"186",2000,6,0.672832275207703
"187",2000,7,0.672832275207703
"188",2000,8,0.672832275207703
"189",2000,9,0.672832275207703
"190",2000,10,0.672832275207703
"191",2000,11,0.672832275207703
"192",2000,12,0.672832275207703
"193",2001,1,0.937722271161359
"194",2001,2,0.937722271161359
"195",2001,3,0.937722271161359
"196",2001,4,0.937722271161359
"197",2001,5,0.937722271161359
"198",2001,6,0.937722271161359
"199",2001,7,0.937722271161359
"200",2001,8,0.937722271161359
"201",2001,9,0.937722271161359
"202",2001,10,0.937722271161359
"203",2001,11,0.937722271161359
"204",2001,12,0.937722271161359
"205",2002,1,1.01127754744149
"206",2002,2,1.01127754744149
"207",2002,3,1.01127754744149
"208",2002,4,1.01127754744149
"209",2002,5,1.01127754744149
"210",2002,6,1.01127754744149
"211",2002,7,1.01127754744149
"212",2002,8,1.01127754744149
"213",2002,9,1.01127754744149
"214",2002,10,1.01127754744149
"215",2002,11,1.01127754744149
"216",2002,12,1.01127754744149
"217",2003,1,0.822120089758515
"218",2003,2,0.822120089758515
"219",2003,3,0.822120089758515
"220",2003,4,0.822120089758515
"221",2003,5,0.822120089758515
"222",2003,6,0.822120089758515
"223",2003,7,0.822120089758515
"224",2003,8,0.822120089758515
"225",2003,9,0.822120089758515
"226",2003,10,0.822120089758515
"227",2003,11,0.822120089758515
"228",2003,12,0.822120089758515
"229",2004,1,0.771434199394737
"230",2004,2,0.771434199394737
"231",2004,3,0.771434199394737
"232",2004,4,0.771434199394737
"233",2004,5,0.771434199394737
"234",2004,6,0.771434199394737
"235",2004,7,0.771434199394737
"236",2004,8,0.771434199394737
"237",2004,9,0.771434199394737
"238",2004,10,0.771434199394737
"239",2004,11,0.771434199394737
"240",2004,12,0.771434199394737
"241",2005,1,1.30445717971459
"242",2005,2,1.30445717971459
"243",2005,3,1.30445717971459
"244",2005,4,1.30445717971459
"245",2005,5,1.30445717971459
"246",2005,6,1.30445717971459
"247",2005,7,1.30445717971459
"248",2005,8,1.30445717971459
"249",2005,9,1.30445717971459
"250",2005,10,1.30445717971459
"251",2005,11,1.30445717971459
"252",2005,12,1.30445717971459
"253",2006,1,1.21894264679081
"254",2006,2,1.21894264679081
"255",2006,3,1.21894264679081
"256",2006,4,1.21894264679081
"257",2006,5,1.21894264679081
"258",2006,6,1.21894264679081
"259",2006,7,1.21894264679081
"260",2006,8,1.21894264679081
"261",2006,9,1.21894264679081
"262",2006,10,1.21894264679081
"263",2006,11,1.21894264679081
"264",2006,12,1.21894264679081
"265",2007,1,0.762258303321198
"266",2007,2,0.762258303321198
"267",2007,3,0.762258303321198
"268",2007,4,0.762258303321198
"269",2007,5,0.762258303321198
"270",2007,6,0.762258303321198
"271",2007,7,0.762258303321198
"272",2007,8,0.762258303321198
"273",2007,9,0.762258303321198
"274",2007,10,0.762258303321198
"275",2007,11,0.762258303321198
"276",2007,12,0.762258303321198
"277",2008,1,1.14034266434588
"278",2008,2,1.14034266434588
"279",2008,3,1.14034266434588
"280",2008,4,1.14034266434588
"281",2008,5,1.14034266434588
"282",2008,6,1.14034266434588
"283",2008,7,1.14034266434588
"284",2008,8,1.14034266434588
"285",2008,9,1.14034266434588
"286",2008,10,1.14034266434588
"287",2008,11,1.14034266434588
"288",2008,12,1.14034266434588
"289",2009,1,1.0557077657435
"290",2009,2,1.0557077657435
"291",2009,3,1.0557077657435
"292",2009,4,1.0557077657435
"293",2009,5,1.0557077657435
