,Name,"Net migration (1e6 mt/year)","FlowToDet (1e6 mt/year)","Net efficiency","Omnivory index",
,"striped bass",,,,,
1,"striped bass 0",,0.02071259,0.1978605,0.2362674,
2,"striped bass 2-5",,0.04199927,0.2421469,0.3770552,
3,"striped bass 6+",,0.00975349,0.2300824,0.5108307,
,menhaden,,,,,
4,"menhaden 0",,2.779211,0.1201402,0.4356583,
5,"menhaden 1",,4.961638,0.1867101,0.4441204,
6,"menhaden 2",,2.885979,0.2896275,0.4441204,
7,"menhaden 3",,1.058868,0.362538,0.4012103,
8,"menhaden 4",,0.274447,0.3563752,0.4012103,
9,"menhaden 5",,0.08488005,0.3452639,0.4012103,
10,"menhaden 6+",,0.04414612,0.2832528,0.4012103,
11,"spiny dogfish",,0.1799626,0.2216851,0.7424334,
,bluefish,,,,,
12,"bluefish juv",,0.01196352,0.2097325,1.141738,
13,"bluefish adult",,0.2491,0.2612297,1.292624,
,weakfish,,,,,
14,"weakfish juv",,0.002582212,0.182042,0.2192449,
15,"weakfish adult",,0.02237293,0.4343501,0.3116923,
,"Atlantic herring",,,,,
16,"Atlantic herring 0-1",,0.01992183,0.1582612,0.0271325,
17,"Atlantic herring 2+",,0.1184289,0.2780405,0.02713246,
18,anchovies,,0.7365113,0.375017,0.2932233,
19,benthos,,107.6388,0.3900178,0.1896462,
20,zooplankton,,678.8434,0.423674,0.3434903,
21,phytoplankton,,524.8958,,,
22,Detritus,,,,0.4191291,
